Word,Frequency
Midnight,1
Cravings,1
Strawberry,2
Cream,2
is,15
all,3
i,5
need,2
rn,1
cuz,1
love,5
it,9
berry,1
much,1
#mahableshwar,1
#mahableshwardiaries,1
#strawberry,1
#strawberrycream,1
Drop,2
a,11
heart,3
if,1
food,3
your,18
only,2
Bae,1
on,28
Valentine’s,1
Day,1
&,6
tag,2
single,1
AF,1
foodie,1
friends,2
#FoodIsMyBae,1
#valentineday,3
Eggless,1
Red,1
Velvet,1
Cupcakes,1
by,4
@payal_kapoor,2
For,2
things,1
frosty,1
and,28
sweet,2
Treat,1
yourself,1
this,6
Valentine,2
sprinkle,1
some,2
frosted,1
happiness,1
with,11
loved,2
ones,2
Live,1
eat,1
cupcakes,3
#valentine,2
#valentineweek,2
#valentinecake,1
#redvelvetcake,1
#redvelvetcupcakes,1
#sanjyotkeer,3
#celebration,1
#foodporn,7
Cup,1
full,6
of,22
cake,1
My,1
lovely,2
wife,1
Baked,1
these,2
super,2
delicious,3
for,17
me,1
Cuz,1
we,2
lots,1
What,4
are,7
you,11
cooking,1
#valentinesday,1
Video,1
now,2
out,2
the,32
YouTube,20
channel,11
#couplegoals,1
#cupcakes,1
#yourfoodlab,3
Assal,3
Kolhapuri,3
Misal,5
Recipe,2
Chef,1
@SanjyotKeer,1
Your,1
weekend,3
sorted,1
Prep,1
recipe,10
also,2
parters,1
Also,1
checkout,1
@Hamiltonbeachindia,1
’s,1
professional,1
juicer,1
mixer,1
grinder,1
which,2
I,2
use,2
in,17
my,13
kitchen,1
perfect,3
results,1
every,1
time,1
link,1
bio,9
#YFLxHamiltonBeachIndia,1
#GiftPerfection,1
#SayHelloToPerfection,1
#ProResultsAtHome,1
#HamiltonBeachIndia,1
#CookLikeAPro,1
Jhanzanit,2
Are,1
excited,1
to,16
cook,1
over,1
Go,1
watch,6
right,1
#misal,2
#misalpav,2
#kholapurimisal,1
#weekendmood,1
#foodie,5
#foodpics,1
#yummyfood,1
#streetfood,9
#spicyfood,1
#spicy,1
Tomorrow,1
Friday,1
at,4
pm,1
mobile,1
screen,1
near,1
#YFLjhanzanitRecipe,1
Who,2
Chai,2
Best,3
Tea,2
Tag,3
buddies,1
tell,1
us,1
about,1
Dost,1
#gehraiyaan,1
#chai,1
#tea,1
#NustaChai,1
#ChaiLover,1
Burrito,1
+,1
Burger,2
=,1
itto,1
In,6
